days,simulated_rabbit,simulated_fox
79,360.77976300849565,219.84374073724496
80,364.9370770882209,213.17183659015583
81,369.22339227699524,206.74462634385296
82,373.63910613472825,200.55340013621912
83,378.1847063364716,194.58974420662608
84,382.8607674181091,188.84553382583474
85,387.66794776519237,183.3129261350041
86,392.6069868263966,177.98435293034262
87,397.67870253447245,172.85251342575518
88,402.88398891886135,167.91036702207478
89,408.2238138952979,163.15112610806833
90,413.6992172188047,158.5682489153462
91,419.31130858743444,154.15543244655592
92,425.06126588500706,149.90660549376287
93,430.95033355187974,145.81592176170304
94,436.97982107351623,141.8777531085994
95,443.151101577273,138.08668291545595
96,449.4656105284093,134.43749959314883
97,455.92484451686653,130.9251902352175
98,462.530360126828,127.544934423
99,469.28377288150716,124.29209818863552
100,476.18675625598075,121.16222814047542
101,483.2410407512219,118.15104575457342
102,490.44841302277393,115.25444183516956
103,497.81071505776123,112.4684711464221
104,505.3298433941391,109.78934721707492
105,513.0077483762632,107.21343731926189
106,520.8464334410008,104.73725762224502
107,528.8479544287069,102.35746852154138
108,537.0144189134662,100.0708701436276
109,545.3479855470347,97.87439802619514
110,553.8508634109297,95.76511897377759
111,562.525311371081,93.74022708846796
112,571.37363742941,91.79703997539391
113,580.3981980666001,89.93299512261041
114,589.6013975701995,88.14564645511481
115,598.9856873420491,86.43266106276776
116,608.553565178808,84.79181610203332
117,618.3075745191338,83.22099587161613
118,628.2503036508047,81.71818906228287
119,638.3843848707293,80.2814861814036
120,648.7124935904649,78.90907715303824
121,659.2373473794349,77.59924909472693
122,669.961704937592,76.35038427251689
123,680.8883649887601,75.16095823617918
124,692.0201650853245,74.02953813703795
125,703.359980314306,72.95478123134846
126,714.9107218941716,71.93543357273336
127,726.6753356509422,70.97032889781143
128,738.656800361338,70.05838770984049
129,750.8581259497422,69.19861656594765
130,763.2823515247582,68.39010757434583
131,775.9325432399817,67.63203810883358
132,788.8117919623896,66.92367074886194
133,801.9232107303638,66.26435345452892
134,815.2699319818721,65.65351998703996
135,828.8551045316872,65.0906905864624
136,842.6818902747095,64.57547292001239
137,856.7534605904603,64.10756331565935
138,871.0729924216502,63.68674829752441
139,885.6436639973107,63.31290644140698
